emoji,cluster_id,membership_raw,membership_sharp,source_type,observed_count,support_score
🤪,cluster_07,1.000000000000000,1.000000000000000,onehot,210,
🤫,cluster_03,1.000000000000000,1.000000000000000,onehot,213,
🤬,cluster_05,1.000000000000000,1.000000000000000,onehot,610,
🤭,cluster_07,1.000000000000000,1.000000000000000,onehot,169,
🤮,cluster_04,1.000000000000000,1.000000000000000,onehot,826,
🥰,cluster_02,1.000000000000000,1.000000000000000,onehot,7737,
🥱,cluster_04,1.000000000000000,1.000000000000000,onehot,139,
🥲,cluster_02,0.519341605901599,0.527616525484750,soft_candidate,4743,0.772511482238770
🥲,cluster_06,0.480658394098401,0.472383474515250,soft_candidate,4743,0.714970886707306
🥳,cluster_02,1.000000000000000,1.000000000000000,onehot,4947,
🥴,cluster_03,1.000000000000000,1.000000000000000,onehot,99,
🥵,cluster_04,1.000000000000000,1.000000000000000,onehot,279,
🥶,cluster_00,1.000000000000000,1.000000000000000,onehot,83,
🥸,cluster_00,1.000000000000000,1.000000000000000,onehot,3,
🥹,cluster_02,0.503639561352307,0.505199277782657,soft_candidate,1609,0.783840358257294
🥹,cluster_06,0.496360438647693,0.494800722217343,soft_candidate,1609,0.772511482238770
🥺,cluster_01,1.000000000000000,1.000000000000000,onehot,3999,
🧐,cluster_01,1.000000000000000,1.000000000000000,onehot,1276,
🫠,cluster_04,1.000000000000000,1.000000000000000,onehot,55,
🫡,cluster_00,1.000000000000000,1.000000000000000,onehot,217,
🫢,cluster_01,1.000000000000000,1.000000000000000,onehot,161,
🫣,cluster_03,1.000000000000000,1.000000000000000,onehot,245,
🫤,cluster_01,0.528272021791581,0.540343832751099,soft_candidate,373,0.720642209053040
🫤,cluster_08,0.471727978208419,0.459656167248901,soft_candidate,373,0.643507659435272
🫥,cluster_00,1.000000000000000,1.000000000000000,onehot,34,
🫨,cluster_03,1.000000000000000,1.000000000000000,onehot,46,
